 PayPal Fees + Shopify The C&V Field Cap - Navy Hat, Red Crest,{'BankCharges': 0.8445555699999999, 'Insurance': 0.0307040581, 'Unknown': 0.0176716001, 'Advertising': 0.013736514699999999, 'SmallEquipment': 0.013016632, 'Telephone': 0.0118608918, 'VehicleRepairs': 0.0079033354, 'Meals&Entertainment': 0.007044007465, 'Catering': 0.0046829060499999995, 'Clothing&Hair&Makeup': 0.00423133957, 'OfficeExpense': 0.0041022385, 'FreightCharge': 0.00385574994, 'Postage': 0.0036704144400000003, 'Travel&Transportation': 0.00314965096, 'VehiclesGas': 0.00176617368, 'MISC': 0.00132814932, 'LOC': 0.0004206268212, 'SoftwareSubscription': 0.000348798109, 'PER': 0.00028576560300000003, 'ORG': 0.00011684302190000001}
 PayPal Fees + Shopify THE PHOTOGRAPHIC STORY,{'BankCharges': 0.6590075580000001, 'Telephone': 0.0521730074, 'Insurance': 0.0484782611, 'Postage': 0.046231809500000005, 'Unknown': 0.040491531, 'Advertising': 0.03538560699999999, 'SmallEquipment': 0.0279656055, 'OfficeExpense': 0.015297960449999998, 'Clothing&Hair&Makeup': 0.0081814251, 'MISC': 0.006966024491, 'FreightCharge': 0.0065419525, 'VehicleRepairs': 0.00637844736, 'Meals&Entertainment': 0.006272431453999999, 'Travel&Transportation': 0.004670756954, 'LOC': 0.0025944898800000006, 'VehiclesGas': 0.00213844365, 'Catering': 0.00188403024, 'SoftwareSubscription': 0.00075381456, 'PER': 0.0005954423581, 'ORG': 0.0003656934}
 PayPal Fees + Shopify THE VISUAL IMAGINATIONSEE THE WORLDThe Composition Checklist,{'BankCharges': 0.773877191, 'Telephone': 0.03688961289999999, 'Insurance': 0.03440603, 'Advertising': 0.0319062188, 'Unknown': 0.0302275636, 'SmallEquipment': 0.014725098300000001, 'VehicleRepairs': 0.0089340546, 'Postage': 0.008829047999999999, 'Clothing&Hair&Makeup': 0.007041736999999999, 'Travel&Transportation': 0.00663165896, 'FreightCharge': 0.00491303517, 'Meals&Entertainment': 0.004490520834999999, 'OfficeExpense': 0.0043826089, 'Catering': 0.0024397751100000004, 'VehiclesGas': 0.0024119721800000002, 'MISC': 0.0022921828500000003, 'SoftwareSubscription': 0.000835412754, 'LOC': 0.000536361583, 'ORG': 0.000202758882, 'PER': 0.00019736876159999998}
 PayPal Fees + alumni discount,{'BankCharges': 0.7827164790000001, 'Advertising': 0.0340250494, 'Telephone': 0.0282151617, 'Unknown': 0.0280719706, 'Insurance': 0.0262961294, 'SmallEquipment': 0.0196698278, 'Postage': 0.0159406986, 'OfficeExpense': 0.0086506432, 'Clothing&Hair&Makeup': 0.00714300466, 'FreightCharge': 0.0053785735, 'VehicleRepairs': 0.0051774256000000005, 'Meals&Entertainment': 0.004972691090000001, 'MISC': 0.004294558, 'Travel&Transportation': 0.004100303163, 'Catering': 0.0018666679599999999, 'LOC': 0.0016623055670000001, 'VehiclesGas': 0.00160691531, 'SoftwareSubscription': 0.000633370402, 'ORG': 0.000380654456, 'PER': 0.0002355132265}
 PayPal Fees + Shopify The Visual VoiceTHE PHOTOGRAPHIC STORY,{'BankCharges': 0.769741757, 'Telephone': 0.0329594165, 'Advertising': 0.031940687599999996, 'Insurance': 0.029018555999999997, 'Unknown': 0.0272561462, 'SmallEquipment': 0.021246148800000003, 'Postage': 0.0181253491, 'OfficeExpense': 0.0105659797, 'Meals&Entertainment': 0.006259449779, 'Clothing&Hair&Makeup': 0.0058480497999999995, 'VehicleRepairs': 0.00560582095, 'FreightCharge': 0.005406300060000001, 'Travel&Transportation': 0.004103893717, 'MISC': 0.00391550534, 'Catering': 0.0021367734, 'VehiclesGas': 0.0015790302700000002, 'LOC': 0.0014473253569999998, 'SoftwareSubscription': 0.000566771355, 'ORG': 0.00030715936399999995, 'PER': 0.000225067824}
 PayPal Fees + Shopify DRAWING THE EYEA DEEPER FRAMETEN MANTRAS VIDEOThe Composition Checklist,{'BankCharges': 0.796920801, 'Telephone': 0.027691802699999997, 'Unknown': 0.024993401499999998, 'Advertising': 0.022626344700000002, 'SmallEquipment': 0.0209163952, 'Insurance': 0.0208401023, 'Postage': 0.017488947699999997, 'OfficeExpense': 0.007381078500000001, 'Clothing&Hair&Makeup': 0.0070749453, 'Meals&Entertainment': 0.005631685957, 'VehicleRepairs': 0.0054956386, 'FreightCharge': 0.0044638057, 'Travel&Transportation': 0.00390767225, 'MISC': 0.0028902653739999997, 'Catering': 0.00234845429, 'LOC': 0.002150384079, 'VehiclesGas': 0.0014462585, 'SoftwareSubscription': 0.00048830137, 'PER': 0.0002571152134, 'ORG': 0.000221690247}
 PayPal Fees + Shopify A BEAUTIFUL ANARCHYHOW TO FEED A STARVING ARTIST,{'BankCharges': 0.6584738509999999, 'Insurance': 0.0719789898, 'Postage': 0.0449347967, 'Advertising': 0.0394983318, 'Telephone': 0.0388801141, 'SmallEquipment': 0.020006111599999998, 'Unknown': 0.0198378803, 'OfficeExpense': 0.019151401600000003, 'Meals&Entertainment': 0.00990493539, 'VehicleRepairs': 0.00679862644, 'Clothing&Hair&Makeup': 0.006714909099999999, 'FreightCharge': 0.0054194884, 'MISC': 0.00519804224, 'LOC': 0.003634425579, 'Travel&Transportation': 0.0031760356899999996, 'Catering': 0.00288329224, 'VehiclesGas': 0.0020211204, 'PER': 0.001145530081, 'ORG': 0.000769423395, 'SoftwareSubscription': 0.000709264463}
 PayPal Fees + Shopify 20 WAYS TO MAKE BETTER PHOTOGRAPHSTEN MANTRAS VIDEOThe Visual Voice,{'BankCharges': 0.7366172999999999, 'Insurance': 0.0581563061, 'Advertising': 0.021848343800000003, 'SmallEquipment': 0.0214460767, 'Telephone': 0.0201463291, 'Unknown': 0.0147052253, 'Meals&Entertainment': 0.01211825547, 'Postage': 0.0110287506, 'OfficeExpense': 0.01049871954, 'VehicleRepairs': 0.0076397162000000005, 'Clothing&Hair&Makeup': 0.00635289773, 'Catering': 0.005862197600000001, 'FreightCharge': 0.00397895776, 'Travel&Transportation': 0.0031279369150000002, 'VehiclesGas': 0.00196894361, 'MISC': 0.001634700553, 'LOC': 0.0010001781929999999, 'SoftwareSubscription': 0.000422664145, 'PER': 0.0003651537187, 'ORG': 0.000132613599}
 PayPal Fees + Shopify A DEEPER FRAMEDRAWING THE EYE20 WAYS TO MAKE BETTER PHOTOGRAPHS,{'BankCharges': 0.7291407080000001, 'Advertising': 0.042605407, 'Telephone': 0.0338840649, 'Insurance': 0.030033700700000002, 'Unknown': 0.0260160995, 'SmallEquipment': 0.022996024099999998, 'OfficeExpense': 0.0170922858, 'Postage': 0.015446648499999998, 'Meals&Entertainment': 0.008435055233000002, 'Clothing&Hair&Makeup': 0.0078377038, 'FreightCharge': 0.0061154138, 'VehicleRepairs': 0.00605266815, 'Travel&Transportation': 0.0033900733, 'MISC': 0.00273348868, 'Catering': 0.00249481128, 'VehiclesGas': 0.00186877309, 'LOC': 0.001680944038, 'SoftwareSubscription': 0.00077322893, 'PER': 0.0003720135657, 'ORG': 0.000324523697}
 Annual Fee,{'BankCharges': 0.8217824362, 'Advertising': 0.0457365271, 'Postage': 0.037351679379999995, 'MISC': 0.020348654916, 'Clothing&Hair&Makeup': 0.01704855467, 'OfficeExpense': 0.01285011611, 'Insurance': 0.01021552748, 'SmallEquipment': 0.00929903914, 'Unknown': 0.00384832944, 'Telephone': 0.00368691996, 'Meals&Entertainment': 0.0022415712427, 'FreightCharge': 0.00197462689, 'SoftwareSubscription': 0.0018899028170000001, 'Catering': 0.001822018668, 'ORG': 0.001521739776, 'Travel&Transportation': 0.000989603722, 'VehicleRepairs': 0.0009668586520000001, 'VehiclesGas': 0.0006811528269999999, 'LOC': 0.00041285742399999997, 'PER': 9.541375400000001e-05}
 REVERSE E-TFR FEE,{'BankCharges': 0.649714252, 'Insurance': 0.132163121, 'Unknown': 0.0464684463, 'SmallEquipment': 0.0328169358, 'Telephone': 0.0221001223, 'VehicleRepairs': 0.0166851531, 'Advertising': 0.0148489589, 'Catering': 0.010001804599999999, 'FreightCharge': 0.008450143700000001, 'Meals&Entertainment': 0.008264994832, 'Travel&Transportation': 0.00656401239, 'Postage': 0.00500928988, 'VehiclesGas': 0.00448112014, 'OfficeExpense': 0.0036457815000000005, 'Clothing&Hair&Makeup': 0.00320435739, 'MISC': 0.0025572691, 'SoftwareSubscription': 0.000739866294, 'ORG': 0.000509538778, 'PER': 0.0003148608756, 'LOC': 0.00021824193500000002}
 Monthly fee,{'BankCharges': 0.777341449, 'Insurance': 0.050916918000000005, 'Unknown': 0.0239052687, 'SmallEquipment': 0.022127131949999997, 'Telephone': 0.0155295155, 'VehicleRepairs': 0.014011959999999999, 'Advertising': 0.0095937572, 'Meals&Entertainment': 0.006505744779999999, 'Catering': 0.00605878216, 'FreightCharge': 0.005289535160000001, 'Travel&Transportation': 0.00431486761, 'Postage': 0.0037813093, 'VehiclesGas': 0.00365008945, 'Clothing&Hair&Makeup': 0.0028850197600000004, 'OfficeExpense': 0.0024830159800000003, 'MISC': 0.001979573321, 'LOC': 0.0007342484865, 'PER': 0.0004129442798, 'SoftwareSubscription': 0.000286073751, 'ORG': 0.0001269932634}
 SUSHI + Purchase MANNA SUSHI JAPANESE R VANCOUVER BCCA,{'BankCharges': 0.747896831, 'Insurance': 0.059438451, 'Unknown': 0.0291921313, 'SmallEquipment': 0.027850396199999995, 'Telephone': 0.019313854, 'VehicleRepairs': 0.010523718199999999, 'Advertising': 0.009761591, 'Meals&Entertainment': 0.007917734919999999, 'Catering': 0.0072367865, 'FreightCharge': 0.006150844149999999, 'Travel&Transportation': 0.00514390927, 'Postage': 0.00357724657, 'VehiclesGas': 0.00351162941, 'Clothing&Hair&Makeup': 0.00321538598, 'OfficeExpense': 0.00271737706, 'MISC': 0.001973709546, 'LOC': 0.00081425898977, 'SoftwareSubscription': 0.000270438302, 'PER': 0.0002126864985, 'ORG': 0.0001461523016}
 DOORDASH*TASTY INDIAN DOWNTOWN TOROON,{'BankCharges': 0.9022089734, 'Insurance': 0.018587337161000004, 'Advertising': 0.00938055523, 'Postage': 0.00580261549, 'MISC': 0.005235334862000001, 'SmallEquipment': 0.005061129966999999, 'Unknown': 0.00483270915, 'OfficeExpense': 0.00333416269, 'Clothing&Hair&Makeup': 0.0027219707380000003, 'Catering': 0.001542828706, 'Telephone': 0.00127133603, 'FreightCharge': 0.000961850754, 'Meals&Entertainment': 0.0008699724704, 'Travel&Transportation': 0.000342657656, 'SoftwareSubscription': 0.000279759958, 'VehicleRepairs': 0.000268689515, 'VehiclesGas': 0.00024295654640000002, 'ORG': 0.00015142967921, 'LOC': 7.575022713e-05, 'PER': 6.0245944645999996e-05}
 TERRA BREADS RETAIL, INC VANCOUVER BC,{'Catering': 0.601753295, 'Meals&Entertainment': 0.2516401807, 'Insurance': 0.0394182103, 'SmallEquipment': 0.02742489, 'FreightCharge': 0.019173564440000002, 'BankCharges': 0.00896941036, 'VehicleRepairs': 0.008183827000000001, 'OfficeExpense': 0.007878336279, 'VehiclesGas': 0.006506521499999999, 'Travel&Transportation': 0.00627956885, 'Clothing&Hair&Makeup': 0.006004055946, 'Postage': 0.00240501528, 'SoftwareSubscription': 0.002284128448, 'Unknown': 0.0021200859099999997, 'Advertising': 0.001984715584, 'Telephone': 0.001183076844, 'MISC': 0.00110398925, 'LOC': 0.0010814924329999999, 'PER': 0.0009120939137, 'ORG': 0.0004322610027}
 PAYPAL *HMHENNESMAU 4029357733 ON CA 452088******1737 Print,{'Catering': 0.7663006450000001, 'Meals&Entertainment': 0.06095409950000001, 'SmallEquipment': 0.0596667873, 'FreightCharge': 0.04130832306, 'Insurance': 0.0147681437, 'VehicleRepairs': 0.011051648680000001, 'VehiclesGas': 0.008152477200000001, 'Travel&Transportation': 0.0076399017999999996, 'BankCharges': 0.00532073257, 'OfficeExpense': 0.004964972810000001, 'Clothing&Hair&Makeup': 0.00307846028, 'MISC': 0.0016650855860000002, 'Postage': 0.00155228799, 'SoftwareSubscription': 0.00110448934, 'Advertising': 0.001069602792, 'Unknown': 0.001013973756, 'Telephone': 0.000731264468, 'LOC': 0.0005798064269999999, 'PER': 8.85134139e-05, 'ORG': 2.282925415e-05}
 ARITZIA ROBSON 1003 VANCOUVER BC CA 452088******1752 Print,{'Postage': 0.2700290978, 'Clothing&Hair&Makeup': 0.12753902290000002, 'Insurance': 0.1023969184, 'SoftwareSubscription': 0.0524180555, 'Meals&Entertainment': 0.0360052199, 'SmallEquipment': 0.0185584248, 'FreightCharge': 0.017033982359999998, 'OfficeExpense': 0.0168773498, 'Catering': 0.013403468799999999, 'Advertising': 0.0090576567, 'Travel&Transportation': 0.00835092472, 'Unknown': 0.004581592190000001, 'VehicleRepairs': 0.0039180644, 'VehiclesGas': 0.0036433898099999997, 'BankCharges': 0.002442411456, 'Telephone': 0.00192250016, 'LOC': 0.0016274604909999998, 'ORG': 0.00084067874592, 'MISC': 7.259307546e-05, 'PER': 3.876336765e-05}
 UNIQLO GUILDFORD #2004 SURREY BC CA 452088******1752 Print,{'Postage': 0.801388251556, 'Clothing&Hair&Makeup': 0.16083517660000002, 'OfficeExpense': 0.0123005182, 'Advertising': 0.01104323523, 'SoftwareSubscription': 0.0031380605499999998, 'Meals&Entertainment': 0.0026791532900000002, 'FreightCharge': 0.00205786422, 'SmallEquipment': 0.0017034164, 'Insurance': 0.001041304, 'VehicleRepairs': 0.000806697386, 'Telephone': 0.00075584979, 'Travel&Transportation': 0.00063569936, 'Catering': 0.000480451093, 'Unknown': 0.00036349077, 'BankCharges': 0.000121697171, 'VehiclesGas': 0.0001113066601, 'ORG': 2.82124391e-05, 'LOC': 2.361530716e-05, 'MISC': 1.5693263239e-05, 'PER': 4.00503504e-06}
 FUNKTIONAL KELOWNA BC CA 452088******1752 Print,{'Clothing&Hair&Makeup': 0.5703613209999999, 'Postage': 0.27894532786, 'OfficeExpense': 0.0600428002, 'Meals&Entertainment': 0.03656030405, 'Advertising': 0.02655078472, 'FreightCharge': 0.005606734930000001, 'Catering': 0.0053287388, 'SoftwareSubscription': 0.00436243515, 'SmallEquipment': 0.0023386554, 'VehicleRepairs': 0.001816055855, 'Insurance': 0.0017214749840000002, 'Telephone': 0.0015853613900000002, 'Travel&Transportation': 0.0010483336700000002, 'Unknown': 0.001016402967, 'BankCharges': 0.0008027527, 'VehiclesGas': 0.000399370157, 'LOC': 0.00016766697799999999, 'MISC': 0.0001184805302, 'ORG': 7.904241766e-05, 'PER': 5.0584424e-05}
 -FEDEX-*80744452 T1800 4633339ON,{'Postage': 0.6746984194, 'Clothing&Hair&Makeup': 0.2294135118, 'OfficeExpense': 0.0249382129, 'Meals&Entertainment': 0.024070339960000003, 'Advertising': 0.02072625334, 'Catering': 0.0048790702, 'SmallEquipment': 0.00417479078, 'Insurance': 0.00381670278, 'VehicleRepairs': 0.0032012980699999997, 'FreightCharge': 0.00204221771, 'BankCharges': 0.00191803816, 'Unknown': 0.0015919372360000002, 'Telephone': 0.0012387761700000002, 'SoftwareSubscription': 0.00107552281, 'Travel&Transportation': 0.0006614917599999999, 'VehiclesGas': 0.000422015588, 'MISC': 9.356669897e-05, 'PER': 6.816764669999999e-05, 'ORG': 4.77198947e-05, 'LOC': 3.90835211e-05}
 FRONT ROW INSURANCE BROKEVANCOUVER,{'Clothing&Hair&Makeup': 0.679561928, 'Postage': 0.1459183281, 'Advertising': 0.08354256228000001, 'Meals&Entertainment': 0.0304526333, 'OfficeExpense': 0.0186782908, 'Insurance': 0.00550914285, 'BankCharges': 0.0038973451699999997, 'FreightCharge': 0.00382840327, 'Catering': 0.0034037141699999997, 'Telephone': 0.00287540385, 'Unknown': 0.00280836231, 'SmallEquipment': 0.00259139484, 'SoftwareSubscription': 0.0023718670499999995, 'VehicleRepairs': 0.0021538908700000003, 'VehiclesGas': 0.0012619732400000001, 'Travel&Transportation': 0.0009589581799999999, 'PER': 0.0001123037587, 'ORG': 0.00010850277080000001, 'LOC': 8.633389700000001e-05, 'MISC': 6.699611766000001e-05}
 ICBC #30754 LANGLEY BC,{'Clothing&Hair&Makeup': 0.8947158017000001, 'Advertising': 0.059202274980000004, 'Meals&Entertainment': 0.0110516921, 'Postage': 0.00708709766, 'FreightCharge': 0.007003357900000001, 'OfficeExpense': 0.00558749641, 'SoftwareSubscription': 0.00416135723, 'Catering': 0.00325645294, 'Insurance': 0.0016680177160000001, 'VehiclesGas': 0.0011676669999999998, 'VehicleRepairs': 0.00100400448, 'BankCharges': 0.0007944991649999999, 'Unknown': 0.000673637632, 'Telephone': 0.0006495554200000001, 'SmallEquipment': 0.000515999405, 'Travel&Transportation': 0.000506474157, 'ORG': 6.106415233200001e-05, 'PER': 3.47542527e-05, 'MISC': 2.8090009649999997e-05, 'LOC': 1.17044373e-05}
 Kurumba Restaurant + Purchase KURUMBA RESTAURANT PORT MOODY BCCA,{'Clothing&Hair&Makeup': 0.8681025319, 'Meals&Entertainment': 0.02892392937, 'Insurance': 0.017169940919, 'Advertising': 0.01561254219, 'Catering': 0.01279677817, 'OfficeExpense': 0.012425549666, 'Postage': 0.009960899890000001, 'Unknown': 0.008911657085, 'VehiclesGas': 0.006783839617, 'Travel&Transportation': 0.0040113598646, 'FreightCharge': 0.00318114107, 'SoftwareSubscription': 0.00253549901, 'SmallEquipment': 0.002420409778, 'BankCharges': 0.00156192127, 'VehicleRepairs': 0.001326345442, 'Telephone': 0.0005532550600000001, 'PER': 0.00040036905425000003, 'LOC': 0.00026043041567699995, 'ORG': 0.000196209335491, 'MISC': 6.649440729e-05}
 Lin Restaurant + Purchase LIN RESTAURANT VANCOUVER BCCA,{'Insurance': 0.39016357999999995, 'VehicleRepairs': 0.1949724062, 'SmallEquipment': 0.1164789041, 'Catering': 0.0658309427, 'VehiclesGas': 0.0346819031, 'FreightCharge': 0.0310490744, 'Telephone': 0.021748796799999998, 'Travel&Transportation': 0.0210106661, 'Postage': 0.014620538999999998, 'Clothing&Hair&Makeup': 0.0120582224, 'Meals&Entertainment': 0.0119381525, 'Unknown': 0.0102823884, 'BankCharges': 0.0084279064, 'Advertising': 0.00699476564, 'OfficeExpense': 0.0064020422, 'MISC': 0.004445015294000001, 'SoftwareSubscription': 0.002364504668, 'ORG': 0.00116792496, 'PER': 0.000302942426, 'LOC': 0.0001700810255}
 Crosstown Liquor Store + Purchase CROSSTOWN LIQUOR STORE VANCOUVER BCCA,{'Catering': 0.550777857, 'Meals&Entertainment': 0.33629288, 'Insurance': 0.0301509475, 'SmallEquipment': 0.02513092, 'Unknown': 0.00598556128, 'Travel&Transportation': 0.0059222137300000005, 'VehicleRepairs': 0.0057973981, 'FreightCharge': 0.00577097998, 'LOC': 0.00552496085, 'BankCharges': 0.00413772099, 'Postage': 0.00374707049, 'OfficeExpense': 0.0037224478, 'MISC': 0.003377705911, 'Clothing&Hair&Makeup': 0.003374215206, 'ORG': 0.002724522466, 'VehiclesGas': 0.0019908057000000002, 'SoftwareSubscription': 0.0019651163399999998, 'Advertising': 0.0012893928910000002, 'Telephone': 0.000962314597, 'PER': 0.00046798103899999997}
 STARBUCKS + Purchase STARBUCKS COFFEE 29965BURNABY BCCD,{'Meals&Entertainment': 0.501430138, 'Catering': 0.374247986, 'SmallEquipment': 0.02105265024, 'Postage': 0.0137743572, 'Insurance': 0.0119342084, 'Travel&Transportation': 0.010644922, 'Clothing&Hair&Makeup': 0.010566735260000001, 'FreightCharge': 0.0101926786, 'OfficeExpense': 0.00702508335, 'BankCharges': 0.00695193844, 'Unknown': 0.00614840035, 'LOC': 0.0055217091422, 'VehicleRepairs': 0.0041082548699999995, 'MISC': 0.0038973307448999994, 'SoftwareSubscription': 0.00364203411, 'ORG': 0.002514406717, 'VehiclesGas': 0.002039910097, 'Advertising': 0.001287429556, 'PER': 0.0009811916309999998, 'Telephone': 0.000742282354}
